,bb_width,d_to_ubb,d_to_lbb,MACD,MACD_Oscillator,RSI,d_to_sup2,d_to_res2,fast_k,slow_k,Momentum,ten_to_sen,cloud_thickness,d_to_cloud,volume,return_next_tick,close
7615,706.0500454403955,190.02502272019774,516.0250227201977,146.89260017346533,15.557619188867022,62.94093576853288,386.6666666666679,313.3333333333285,57.49999999999999,67.8098969995522,0.005671874364549533,160.0,120.0,910.0,128551.93209381,0.41775456919059817,19150.0
7616,770.2120920021844,166.10604600109218,604.1060460010922,154.66531737861078,18.664269115209976,65.26586726620786,166.66666666666788,93.33333333332848,77.5,69.0241827138379,0.012325476392994661,155.0,125.0,995.0,65454.46648571,0.7800312012480548,19230.0
7617,822.4516196508921,102.22580982544605,720.225809825446,170.95829732704442,27.9657992509149,69.17120196746261,313.3333333333321,226.66666666667152,86.79245283018868,68.28743518463754,0.015461149515186312,155.0,115.0,1135.0,159173.02868422,-0.4643962848297267,19380.0
7618,674.619234169033,177.3096170845165,497.3096170845165,174.59572267323165,25.282579677681696,64.48625287061651,120.0,200.0,69.81132075471697,70.73454782042943,0.007750947583842694,165.0,77.5,1007.5,82062.5636682,-0.15552099533436836,19290.0
7619,490.2788322302149,162.13941611510745,328.13941611510745,173.0627001077264,18.999645689741158,62.955597798367876,120.0,220.0,64.15094339622641,71.15094339622644,0.009358238842131873,210.0,97.5,997.5,102288.58411939,0.05192107995846129,19260.0
7620,414.4929968577635,143.24649842888175,271.24649842888175,170.68711034720036,13.299244743372071,63.268574068007254,133.33333333333212,126.66666666667152,47.05882352941176,69.06270810210879,0.005928436456373153,210.0,112.5,1022.5,55111.51333844,0.05189413596262682,19270.0
7621,400.0222216045804,143.0111108022902,257.0111108022902,167.67846184140944,8.232476990064924,63.599764435192164,240.0,140.0,50.0,63.562708102108786,0.006992892046860932,210.0,115.0,1035.0,61173.06323287,0.5705394190871349,19280.0
7622,452.7250821411217,75.36254107056084,377.36254107056084,172.18532170904655,10.191469486161623,67.11251958725381,300.0,180.0,87.5,63.70421753607104,0.010191307238343404,180.0,117.5,1147.5,84346.65513641,-0.0515729757607053,19390.0
7623,386.45971473206737,86.22985736603368,300.2298573660337,172.9563905887153,8.770030692664278,66.4843812297598,113.33333333333212,106.66666666667152,84.375,66.61695338512766,0.005679923160833567,160.0,122.5,1142.5,76145.00664821,0.3095975232198178,19380.0
7624,353.7984360239716,43.899218011985795,309.8992180119858,176.37581617149044,9.751565020351535,68.39570313484238,200.0,160.0,84.61538461538461,70.7098416289593,0.008666279886871076,225.0,142.5,1137.5,112515.45779068,0.5658436213991758,19440.0
7625,397.34675592499116,-4.326622037504421,401.6733779624956,185.8198012728535,15.35644009737166,71.59402663401124,226.66666666666788,113.33333333332848,100.0,81.29807692307693,0.014000114874385194,225.0,145.0,1240.0,94808.67972776,0.716112531969304,19550.0
7626,552.3444979757696,-20.827751012115186,573.1722489878848,202.2694214944604,25.44484825518282,75.05417108594999,233.33333333333212,126.66666666667152,98.07692307692307,90.91346153846155,0.02071460761900825,225.0,145.0,1380.0,163268.40586371,-0.45708481462671813,19690.0
7627,610.209435812998,120.10471790649899,490.104717906499,205.67274877355885,23.078540427424997,69.21707361398335,120.0,160.0,73.68421052631578,88.15030364372471,0.013794218352875975,225.0,160.0,1300.0,85640.33930617,0.8163265306122547,19600.0
7628,718.9622150477153,61.481107523857645,657.4811075238576,218.75885705463588,28.93171896680161,73.20652608226627,246.66666666666788,153.33333333332848,93.61702127659575,89.99870789904386,0.01660766478802722,225.0,182.5,1432.5,122768.07241203,0.3542510121457454,19760.0
7629,792.0606037416874,85.03030187084369,707.0303018708437,232.1025731488735,33.82034804883136,74.74842064925824,253.33333333333212,126.66666666667152,100.0,93.07563097596694,0.01516501123450642,225.0,182.5,1487.5,142641.95833424,0.6555723651033851,19830.0
7630,882.1791201335654,69.08956006678272,813.0895600667827,250.28237837200868,41.60012261757322,77.354768690006,226.66666666666788,133.33333333332848,95.65217391304348,92.20606575857565,0.024154969285680995,260.0,182.5,1617.5,196179.74306205,-0.5511022044088154,19960.0
7631,820.8938217981049,205.44691089905245,615.4469108990525,252.8986659015609,35.373128117700304,70.70469955371188,160.0,200.0,69.04761904761905,86.40020495271483,0.01300759593298113,330.0,197.5,1462.5,166023.93181856,0.4030226700251882,19850.0
7632,806.7382888311986,172.3691444155993,634.3691444155993,258.4481941266931,32.73812507426601,72.55277419971688,213.33333333333212,106.66666666667152,87.17948717948718,89.09926028334912,0.013028136637556286,330.0,197.5,1527.5,109841.92981778,0.6021073758153639,19930.0
7633,780.4727911832597,106.23639559162984,674.2363955916298,269.42348610790214,34.97073364438003,75.0911248236318,206.66666666666788,153.33333333332848,89.13043478260869,88.2019429845517,0.017129815987296813,360.0,210.0,1645.0,203287.68873694,0.4987531172069737,20050.0
7634,769.8888808707998,71.94444043539988,697.9444404353999,282.9292164509243,38.781171189921736,77.00002800058168,193.33333333333212,126.66666666667152,92.6829268292683,86.73852835040536,0.021316820010177852,430.0,200.0,1735.0,142152.5723852,0.7444168734491274,20150.0
7635,852.8748768460428,38.437438423021376,814.4374384230214,302.2521765037054,46.48330499416224,79.53367233453045,300.0,300.0,77.94117647058823,83.19632886191431,0.02588725148509259,410.0,197.5,1882.5,332115.83390612,-0.09852216748768017,20300.0
7636,904.7921799443648,143.39608997218238,761.3960899721824,312.3513369267894,45.265972333796924,78.29522641437532,200.0,140.0,75.0,84.3868050523905,0.01918725539499928,335.0,197.5,1862.5,166931.65755368,-1.1834319526627168,20280.0
7637,740.2702209325871,345.13511046629355,395.13511046629355,297.5589260112356,24.37884913459453,65.17923309803435,220.0,360.0,22.641509433962266,71.47920950328552,0.0051547957117344615,360.0,210.0,1570.0,182620.60490451,-0.44910179640718084,20040.0
7638,658.4021061121457,413.20105305607285,245.20105305607285,275.3989581883761,1.7751050493880598,61.04912608241712,100.0,180.0,1.9607843137254901,54.045279409508886,-0.005678701482754855,425.0,212.5,1482.5,142763.90895461,0.15037593984963404,19950.0
7639,600.5774998556881,369.28874992784404,231.28874992784404,257.2918727637625,-13.065584300180433,61.91541881544934,200.0,120.0,22.950819672131146,40.098857978081455,-0.004566280229868502,425.0,215.0,1500.0,187020.63232206,-0.8508508508508483,19980.0
7640,666.4532991887536,557.2266495943768,109.2266495943768,226.61205514888206,-34.99632153204868,54.51620719263339,206.66666666666788,273.3333333333285,12.068965517241379,26.92441578741208,-0.010294484819051996,410.0,145.0,1190.0,162786.87478626,0.25239777889953796,19810.0
7641,661.6477747089884,505.8238873544942,155.82388735449422,203.9812914318245,-46.101668199285,56.175081633458255,113.33333333333212,126.66666666667152,21.818181818181817,16.28805215104844,-0.008455530291114587,315.0,125.0,1200.0,91243.00298455,-0.15105740181269312,19860.0
7642,700.7932013873215,545.3966006936607,155.39660069366073,181.53290058304992,-54.84004723844768,54.881718495850926,86.66666666666788,133.33333333332848,26.47058823529412,17.053867911314814,-0.011713163697902396,315.0,117.5,1152.5,57696.44581161,0.9077155824508409,19830.0
